COMUNA,2015,2017,2022,,,,,,,,,
Tiltil,"27,2","23,7","29,0",,,,,,,,,
Colina,"32,1","25,5","24,6",,,,,,,,,
Lampa,"26,8","25,8","25,7",,,,,,,,,
Lo Barnechea,"17,3","17,2","10,9",,,,,,,,,
Quilicura,"18,6","18,0","17,1",,,,,,,,,
Huechuraba,"23,9","28,9","18,7",,,,,,,,,
Conchalí,"21,7","29,4","18,8",,,,,,,,,
Vitacura,"2,9","3,5","2,5",,,,,,,,,
Curacaví,"24,3","22,6","25,9",,,,,,,,,
Renca,"26,3","24,6","19,5",,,,,,,,,
Recoleta,"26,3","22,6","21,2",,,,,,,,,
Independencia,"21,4","21,0","22,5",,,,,,,,,
Las Condes,"4,9","4,3","4,5",,,,,,,,,
Cerro Navia,"35,6","34,7","23,1",,,,,,,,,
Quinta Normal,"13,5","23,5","19,7",,,,,,,,,
Providencia,"4,7","3,4","4,4",,,,,,,,,
Pudahuel,"20,6","22,6","16,9",,,,,,,,,
La Reina,"9,9","7,0","4,9",,,,,,,,,
Lo Prado,"20,4","24,5","19,4",,,,,,,,,
Santiago,"11,7","9,7","16,5",,,,,,,,,
Ñuñoa,"10,8","5,8","5,2",,,,,,,,,
Estación Central,"14,5","23,5","22,9",,,,,,,,,
Peñalolén,"20,8","26,3","16,7",,,,,,,,,
Macul,"17,6","13,5","13,5",,,,,,,,,
Pedro Aguirre Cerda,"31,0","26,8","20,2",,,,,,,,,
San Joaquín,"23,8","21,2","19,7",,,,,,,,,
San Miguel,"11,7","17,3","13,0",,,,,,,,,
Cerrillos,"19,7","27,5","22,6",,,,,,,,,
Maipú,"12,6","13,3","14,9",,,,,,,,,
María Pinto,"27,7","33,2","27,2",,,,,,,,,
Lo Espejo,"28,3","37,6","28,8",,,,,,,,,
La Florida,"17,1","19,0","13,2",,,,,,,,,
La Cisterna,"20,1","17,9","13,5",,,,,,,,,
La Granja,"24,6","22,0","22,4",,,,,,,,,
San Ramón,"29,5","28,0","19,2",,,,,,,,,
El Bosque,"27,1","22,7","17,5",,,,,,,,,
Padre Hurtado,"21,2","21,7","19,6",,,,,,,,,
La Pintana,"42,4","32,8","27,0",,,,,,,,,
San Bernardo,"22,0","26,1","18,8",,,,,,,,,
Puente Alto,"27,2","23,4","19,0",,,,,,,,,
Peñaflor,"15,0","13,5","15,2",,,,,,,,,
Calera De Tango,"29,5","22,1","18,6",,,,,,,,,
Pirque,"11,4","20,4","19,5",,,,,,,,,
San José De Maipo,"21,2","24,0","24,5",,,,,,,,,
Talagante,"29,9","21,4","17,0",,,,,,,,,
El Monte,"27,1","33,7","23,0",,,,,,,,,
Melipilla,"20,8","25,0","22,9",,,,,,,,,
Buin,"18,9","25,0","19,2",,,,,,,,,
Isla De Maipo,"24,4","27,3","22,9",,,,,,,,,
Paine,"27,0","22,4","21,0",,,,,,,,,
San Pedro,"29,3","31,9","32,0",,,,,,,,,
Alhué,"29,1","20,3","29,2",,,,,,,,,
,,,,,,,,,,,,
La fuente de esta base de datos fueron obtenidos por la Encuesta Casen: https://www.bcn.cl/siit/estadisticasterritoriales/resultados-consulta?id=530152,,,,,,,,,,,,
